zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
82.93,5.85,38.61,39.6,93.83,88.24,Rajauri,1,0,0,0,1,1,0.5
58.69,62.61,74.5,36.95,71.43,41.97,Ramban,1,1,1,0,1,0,0.6666666666666666
64.74,65.82,71.83,62.79,22.82,19.63,Reasi,1,1,1,1,0,0,0.6666666666666666
48.18,82.1,86.32,87.45,72.73,46.07,Samba,0,1,1,1,1,0,0.6666666666666666
65.88,98.72,97.01,89.94,93.7,94.93,Shopian,1,1,1,1,1,1,1.0
75.98,74.73,98.74,43.01,64.29,33.33,Srinagar,1,1,1,0,1,0,0.6666666666666666
58.96,59.84,71.8,59.94,6.5,57.05,Udhampur,1,1,1,1,0,1,0.8333333333333334
74.39,96.4,97.84,98.74,48.27,79.44,Bokaro,1,1,1,1,0,1,0.8333333333333334
44.9,96.63,76.61,97.58,85.6,65.34,Chatra,0,1,1,1,1,1,0.8333333333333334
75.0,100.0,62.5,100.0,37.5,100.0,Deoghar,1,1,1,1,0,1,0.8333333333333334
96.34,98.38,99.51,99.35,92.8,94.55,Dhanbad,1,1,1,1,1,1,1.0
97.02,98.01,100.0,97.9,53.63,99.75,Dumka,1,1,1,1,1,1,1.0
60.4,94.39,87.45,86.58,51.99,86.51,East Singhbum,1,1,1,1,1,1,1.0
57.22,56.33,90.44,83.07,64.69,72.68,Garhwa,1,1,1,1,1,1,1.0
55.83,94.21,84.46,94.65,93.63,25.28,Giridih,1,1,1,1,1,0,0.8333333333333334
97.19,98.56,99.01,85.86,93.4,89.53,Godda,1,1,1,1,1,1,1.0
84.1,96.9,97.17,93.77,69.01,70.85,Gumla,1,1,1,1,1,1,1.0
100.0,100.0,100.0,100.0,100.0,81.98,Hazaribagh,1,1,1,1,1,1,1.0
57.43,96.26,98.46,98.93,57.69,82.54,Jamtara,1,1,1,1,1,1,1.0
84.78,97.34,96.89,99.67,61.45,85.11,Khunti,1,1,1,1,1,1,1.0
61.88,96.17,100.0,99.62,75.48,91.2,Koderma,1,1,1,1,1,1,1.0
96.55,100.0,100.0,100.0,95.65,48.22,Latehar,1,1,1,1,1,0,0.8333333333333334
80.02,85.74,89.05,76.27,80.09,48.69,Lohardaga,1,1,1,1,1,0,0.8333333333333334
95.19,89.29,99.89,92.36,47.47,86.32,Pakur,1,1,1,1,0,1,0.8333333333333334
87.82,98.78,97.13,54.44,91.23,93.67,Palamu,1,1,1,1,1,1,1.0
71.99,98.81,93.51,99.77,70.3,78.51,Ranchi,1,1,1,1,1,1,1.0
100.0,100.0,100.0,100.0,100.0,100.0,Sahebganj,1,1,1,1,1,1,1.0
75.09,82.11,95.46,75.19,64.6,63.68,Saraikela Kharsawan,1,1,1,1,1,1,1.0
60.32,99.43,99.58,99.61,66.42,99.55,Simdega,1,1,1,1,1,1,1.0
40.96,21.63,70.73,48.3,86.54,23.98,West Singhbhum,0,0,1,0,1,0,0.3333333333333333
20.38,1.73,98.15,77.13,61.21,88.79,Bagalkot,0,0,1,1,1,1,0.6666666666666666
39.28,62.04,93.94,91.55,62.07,89.42,Ballari,0,1,1,1,1,1,0.8333333333333334
33.07,39.84,82.56,85.25,12.0,30.49,Bangalore,0,0,1,1,0,0,0.3333333333333333
37.52,22.77,95.97,60.9,14.94,31.95,Belagavi,0,0,1,1,0,0,0.3333333333333333
38.86,40.15,86.26,88.01,12.03,27.68,Bengaluru Urban,0,0,1,1,0,0,0.3333333333333333
50.05,30.85,95.26,80.29,23.55,4.02,Bidar,1,0,1,1,0,0,0.5
19.36,6.96,93.39,77.45,59.04,10.37,Bijapur,0,0,1,1,1,0,0.5
20.0,22.34,91.43,85.91,84.91,78.77,Chamarajanagar,0,0,1,1,1,1,0.6666666666666666
32.65,77.13,85.89,98.87,58.08,86.22,Chikballapur,0,1,1,1,1,1,0.8333333333333334
46.47,82.4,98.01,98.01,21.41,67.0,Chikmagalur,0,1,1,1,0,1,0.6666666666666666
50.43,17.82,63.93,24.31,38.34,75.84,Chitradurga,1,0,1,0,0,1,0.5
23.55,74.88,68.32,52.02,31.75,85.33,Dakshin Kannad,0,1,1,1,0,1,0.6666666666666666
